UI_SYSTEMCURSOR "System cursor"
INTRO_SPEECH_1	"I don't fear ghosts..."
INTRO_SPEECH_2	"What I fear is inside of me!"
INTRO_SPEECH_3	"Huh!!"
INTRO_SPEECH_4	"Quit barking Isaac, you woke me up. That's not nice, you bad dog!"
INTRO_SPEECH_5	"I dreamed of that same house again... what can it mean?"
INTRO_SPEECH_6	"I've got a pile of work to do, starting with reading this..."
INTRO_SPEECH_7	"Isaac! What's your problem already?"
INTRO_SPEECH_8	"Things are not looking up!"
INTRO_SPEECH_9	"How could this letter have gotten here?"
INTRO_SPEECH_10	"It's my name on the envelope, but the address is wrong!"
INTRO_SPEECH_11	"I don't believe it - that house!"
NATHAN1_SPEECH_1	"Aaagghhh!? What the...?"
NATHAN1_SPEECH_2	"I was waiting for you, Ashley! I was waiting because I need you... and you'll need me to understand why you're here."
NATHAN1_SPEECH_3	"But who are you?"
NATHAN1_SPEECH_4	"I'm Nathan and I can help you. Take this."
NATHAN1_SPEECH_5	"The Fraternity of Mediums chose you and called you here to free the six ghosts that are held captive."
NATHAN1_SPEECH_6	"But I don't know how!"
NATHAN1_SPEECH_7	"You already know most of what you'll need to know, trust me."
NATHAN1_SPEECH_8	"An important task has been entrusted to you and by the end you'll find out who you are..."
NATHAN1_SPEECH_9	"...to the very depths of your soul!"

>>>>>>>>>>> DEBUT Partie proofread FAIT <<<<<<<<<<<<<<<<<<<<<
HALL_NATHAN_MEET2_1	"You've made the right choice by trusting me. Now, if you want your freedom, step forward. The essence of your soul will overpower your innocence."
HALL_ASHLEY_MEET2	"But I'm no prisoner!"
HALL_NATHAN_MEET2_3	"Do you really think so, Ashley?"

HALL_NATHAN_MEET3	"You need to further explore your powers...
We'll meet again soon, Ashley!"

HALL_NATHAN_MEET3_1	"You now realize that no one really knows where he comes from nor what he's capable of."
HALL_NATHAN_MEET3_2	"Knowledge comes from trial and error, Ashley..."
HALL_ASHLEY_MEET3_3	"I'm being tested?"
HALL_NATHAN_MEET3_4	"Yes. Since ghosts began to spread through our world, the Fraternity has been looking for the Key - they think it's you!"
HALL_ASHLEY_MEET3_5	"Are you part of the Fraternity?"
HALL_NATHAN_MEET3_6	"..."
HALL_ASHLEY_MEET3_7	"Answer me! You know so much about me. Are you part of the Fraternity?"
HALL_NATHAN_MEET3_8	"The Fraternity wants... YOU! Isn't that enough to satisfy you?"

HALL_NATHAN_MEET4_1	"Ashley, I know everything about you. Why don't you trust me?"
HALL_ASHLEY_MEET4_2	"Because I don't know who you are!
What exactly do you want from me?"
HALL_NATHAN_MEET4_3	"To help you! Have I not helped you ever since you arrived?"
HALL_ASHLEY_MEET4_4	"I suspect that it was the Fraternity who guided me here!"
HALL_NATHAN_MEET4_5	"The Fraternity will end up rejecting you! You must join me."
HALL_NATHAN_MEET4_6	"Free one more soul. Only then will the Fraternity be certain of your ability to save the world."
HALL_ASHLEY_MEET4_7	"There are 6 ghosts, and this will be the 5th! Who can the 6th be?"
HALL_NATHAN_MEET4_8	"You will find out, Ashley!"
HALL_NATHAN_MEET4_9	"I hope it won't be too late for us."

ATTIC_PENDANT	"The pendant is now in your inventory."
ATTIC_NATHAN1	"Thank you, Ashley."
ATTIC_ASHLEY1	"Where's the 6th ghost?"
ATTIC_NATHAN2	"I'm the 6th ghost, but I have no need to be free. The land of the dead is my kingdom..."
ATTIC_NATHAN3	"The Fraternity sent you here, but I was the one who used your powers as a medium!"
ATTIC_NATHAN4	"You captured the energy of those souls in my pendant!"
ATTIC_ASHLEY2	"But... Who are you then, if you're not part of the Fraternity?"
ATTIC_NATHAN5	"I was a medium like you... Then I discovered the powers of darkness. The Fraternity damned me, accusing me of sorcery."
ATTIC_NATHAN6	"They want you since you are the Key - the most powerful medium in the world, able to reach into the afterlife."
ATTIC_NATHAN7	"Join with me! Our alliance will give us absolute power over the world to bring about complete chaos!"
ATTIC_ASHLEY4	"No! I refuse to be part of this! You got swallowed by darkness and now you want to bring the whole world down with you!"
ATTIC_NATHAN8	"You have no choice! THE FRATERNITY WILL EXPEL YOU AS IT DID ME! YOU MUST ESCAPE THEIR GRASP!"
ATTIC_ASHLEY5	"LIES!"
ATTIC_NATHAN9	"Then the Fraternity won't have you either! With the energy of the 5 ghosts, I have the power to fling you to Hell..."
ATTIC_NATHAN10	"NOW!"

ATTIC_END_NATHAN1	"What spell is this...?!"
ATTIC_END_ASHLEY1	"You underestimated me, Nathan. I feel an extraordinary power within me."
ATTIC_END_ASHLEY2	"You helped me understand why I felt different - thank you."
ATTIC_END_ASHLEY3	"I am the Key. Shadows are harmless to me."
ATTIC_END_ASHLEY5	"Now they've come to take you away..."
ATTIC_END_NATHAN2	"Nooooooooooooooooo!"

THEEND_SPEECH_1 Ashley, you are now one of us. Your wisdom and immense power have brought the deceitful Nathan to his knees.
THEEND_SPEECH_2 Your real struggle begins now...
THEEND_SPEECH_3 But... Nathan is no more!
THEEND_SPEECH_4 You're right. Bodily he is no more, but his spirit is alive...
THEEND_SPEECH_5 The world is still in great danger. You must be at the ready.
THEEND_SPEECH_6 Feel the force within you.
THEEND_SPEECH_7 What must I do?
>>>>>>>>>>> FIN Partie proofread FAIT <<<<<<<<<<<<<<<<<<<<<

LOADING	"L O A D I N G"
TITLE_TEXT1	"A few hours later"
TITLE_TEXT2	"2212 Manor Street, Long Island"
MENU_PLAY	PLAY
MENU_OPTIONS	OPTIONS
MENU_CREDITS	CREDITS
MENU_QUIT	EXIT
MENU_PLAYER	Change player? Click here
MENU_WELCOME	Welcome
MENU_EXTRAS	Extras
MODE_TITLE	CHOOSE DIFFICULTY
MODE_CASUAL	CASUAL
MODE_ADVENTURE	ADVENTURE
MODE_CASUAL_DESC	"You are guided through the adventure.

Basic dialog is provided and active zones are highlighted."

MODE_ADVENTURE_DESC	"You are free to roam.

Dialog is more detailed and active zones are not highlighted."

MODE_BUT_CANCEL	Cancel
MODE_BUT_CONTINUE	Continue
ERR_TITLE	Error
ERR_BODY	Couldn't load %s
UI_OPTIONS	OPTIONS
UI_MUSICVOL	Music volume
UI_SFXVOL	SFX volume
UI_FULLSCREEN	"Full screen"
UI_WINDOWED	"Window mode"
UI_OPTIONS	OPTIONS
UI_OK		OK
UI_YES		Yes
UI_NO		No
UI_NEW		New
UI_PLAYERLIST	LIST OF PLAYERS
UI_CANCEL	Cancel
UI_DELETE	Delete
UI_DELETEPLAYER	Delete
UI_NEWPLAYER	New player
UI_ALREADYEXIST	This name is already taken.
UI_MISSINGNAME	Enter your name.
UI_MENU	MENU
UI_HINT	Guide
UI_MAP	Map
UI_DIARY	DIARY
IHM_INFO_ENVELOPE	"Collect all the hidden envelopes.

Review their content in your diary - they contain important information."

UI_OBJECTIVE	????
UI_OBJECTIVES	????
UI_TASK_NEWOBJECTIF	"New objective: "
UI_TASKHINTNO	CLOSE
UI_TASK_HINTAVAILABLE	Click a question for help
UI_TASK_HINTNOTAVAILABLE	No additional help available yet
UI_TASK_HINTERROR	I'm unable to get clues to help me with this objective...
UI_TASK_HINTNOTAVAILABLE_MORE	"Impossible!
I need more time to concentrate..."

UI_HINTBOX_OK	Done
NOTIMPLEMENTED	Not implemented
TUTOBOX_CLICK_ZONE	"Click the indicated area"
TUTOBOX_CLICK_EVERYWHERE	"Click to continue"
MINIGAME_EXIT	Back
MINIGAME_SUBMIT	Submit
MINIGAME_RESET	Reset
MINIGAME_SKIP	Skip
MINIGAME_HELP	Skip
MINIGAME_SUCCES	"Success!"
MINIGAME_FAIL	YOU FAILED!
MOSAIC_TITLE	"REPLAY THE MINI-GAMES"
MOSAIC_SUB_TITLE	"To unlock a mini-game, you must solve it during the adventure"
MINIGAME_SKIP_MORE_HELP_QUERY	"You have the option of either taking a Joker and restarting in easy mode or skipping the mini-game. What's your choice?"
MINIGAME_SKIP_MORE_HELP_QUERY_HINT	"You have the option of taking a Joker to obtain a clue or skipping the mini-game. What's your choice?"
MINIGAME_SKIP_QUERY	"There's no more help available.
Skip the mini-game now?"

MINIGAME_SECONDS	" Seconds"
MINIGAME_HINT_NUMBER	"You have %d Joker(s)."
MINIGAME_HINT_SKIP_NOW	"Skip now"
MINIGAME_HINT_GET_HINT	"Get Joker"
MINIGAME_HINT_NO_THANKS	"No thanks"
MINIGAME_TITLE_PREFIX	Enigma #
MINIGAME_LOGIC	LOGIC
MINIGAME_MEMORY	MEMORY
MINIGAME_OBSERVATION	OBSERVATION
MINIGAME_HOLDSTART	Start the game
MINIJEU_TUTO_RESET	""
MINIJEU_TUTO_SKIP	""
MINIJEU_TUTO_HELP	"If you find the puzzle too difficult you can get help or simply skip it by clicking this button."
MINIJEU_TUTO_SUBMIT	"This button lets you submit your answer"
MINIJEU_TUTO_CLUE	"You've just been given a clue. If you wish to see it again, click on the corresponding button."
CINEMATIC_CLOSETXT	Click to skip
DIALOG_CLOSETXT	Skip
RULE_POLTERGEISTMG	"Keep clicking the poltergeist until it vanishes."
CAPTION_TEMPLATEMG	Mini-game
